,ARES,BERTScore,DeepEval,FaithJudge,G-Eval,GaRAGe,HALT-RAG,HSAD,KG-RAG,LRP4RAG,LUMINA,LettuceDetect,MetaRAG,QAFactEval,RAGAS,RAGChecker,ReDeEP,SIRG,TRACe,UniEval
ARES,1.0,0.0,0.244,0.0,0.0,0.286,0.04,1.0,0.999,1.0,1.0,1.0,0.906,0.0,0.003,0.019,0.903,1.0,1.0,1.0
BERTScore,0.0,1.0,0.054,0.062,0.063,0.515,0.905,0.0,0.001,0.0,0.0,0.0,0.066,0.941,0.062,0.914,0.068,0.0,0.0,0.0
DeepEval,0.244,0.054,1.0,0.751,0.75,0.301,0.033,0.244,0.244,0.244,0.244,0.244,0.235,0.008,0.754,0.01,0.234,0.244,0.244,0.244
FaithJudge,0.0,0.062,0.751,1.0,0.999,0.258,0.029,0.0,0.0,0.0,0.0,0.0,0.006,0.007,0.997,0.005,0.006,0.0,0.0,0.0
G-Eval,0.0,0.063,0.75,0.999,1.0,0.259,0.03,0.0,0.0,0.0,0.0,0.0,0.006,0.008,0.996,0.006,0.006,0.0,0.0,0.0
GaRAGe,0.286,0.515,0.301,0.258,0.259,1.0,0.468,0.286,0.286,0.286,0.286,0.286,0.33,0.459,0.258,0.456,0.33,0.286,0.286,0.286
HALT-RAG,0.04,0.905,0.033,0.029,0.03,0.468,1.0,0.04,0.041,0.04,0.04,0.04,0.125,0.93,0.027,0.913,0.127,0.04,0.04,0.04
HSAD,1.0,0.0,0.244,0.0,0.0,0.286,0.04,1.0,0.999,1.0,1.0,1.0,0.906,0.0,0.003,0.019,0.903,1.0,1.0,1.0
KG-RAG,0.999,0.001,0.244,0.0,0.0,0.286,0.041,0.999,1.0,0.999,0.999,0.999,0.907,0.001,0.003,0.02,0.904,0.999,0.999,0.999
LRP4RAG,1.0,0.0,0.244,0.0,0.0,0.286,0.04,1.0,0.999,1.0,1.0,1.0,0.906,0.0,0.003,0.019,0.903,1.0,1.0,1.0
LUMINA,1.0,0.0,0.244,0.0,0.0,0.286,0.04,1.0,0.999,1.0,1.0,1.0,0.906,0.0,0.003,0.019,0.903,1.0,1.0,1.0
LettuceDetect,1.0,0.0,0.244,0.0,0.0,0.286,0.04,1.0,0.999,1.0,1.0,1.0,0.906,0.0,0.003,0.019,0.903,1.0,1.0,1.0
MetaRAG,0.906,0.066,0.235,0.006,0.006,0.33,0.125,0.906,0.907,0.906,0.906,0.906,1.0,0.084,0.009,0.109,0.997,0.906,0.906,0.906
QAFactEval,0.0,0.941,0.008,0.007,0.008,0.459,0.93,0.0,0.001,0.0,0.0,0.0,0.084,1.0,0.005,0.973,0.087,0.0,0.0,0.0
RAGAS,0.003,0.062,0.754,0.997,0.996,0.258,0.027,0.003,0.003,0.003,0.003,0.003,0.009,0.005,1.0,0.003,0.009,0.003,0.003,0.003
RAGChecker,0.019,0.914,0.01,0.005,0.006,0.456,0.913,0.019,0.02,0.019,0.019,0.019,0.109,0.973,0.003,1.0,0.112,0.019,0.019,0.019
ReDeEP,0.903,0.068,0.234,0.006,0.006,0.33,0.127,0.903,0.904,0.903,0.903,0.903,0.997,0.087,0.009,0.112,1.0,0.903,0.903,0.903
SIRG,1.0,0.0,0.244,0.0,0.0,0.286,0.04,1.0,0.999,1.0,1.0,1.0,0.906,0.0,0.003,0.019,0.903,1.0,1.0,1.0
TRACe,1.0,0.0,0.244,0.0,0.0,0.286,0.04,1.0,0.999,1.0,1.0,1.0,0.906,0.0,0.003,0.019,0.903,1.0,1.0,1.0
UniEval,1.0,0.0,0.244,0.0,0.0,0.286,0.04,1.0,0.999,1.0,1.0,1.0,0.906,0.0,0.003,0.019,0.903,1.0,1.0,1.0
