,RAGAS_faithfulness,RAGAS_answer_relevancy,RAGAS_context_precision,RAGAS_context_recall,DeepEval_faithfulness,DeepEval_answer_relevancy,DeepEval_contextual_precision,DeepEval_contextual_recall,DeepEval_hallucination,G-Eval_coherence,G-Eval_consistency,G-Eval_fluency,G-Eval_relevance,RAGChecker_claim_recall,RAGChecker_context_utilization,RAGChecker_faithfulness,RAGChecker_noise_sensitivity,RAGChecker_hallucination,TRACe_utilization,TRACe_relevance,TRACe_adherence,TRACe_completeness,ARES_context_relevance,ARES_answer_faithfulness,ARES_answer_relevance,BERTScore_precision,BERTScore_recall,BERTScore_f1,UniEval_coherence,UniEval_consistency,UniEval_fluency,UniEval_relevance,UniEval_overall,QAFactEval_factual_consistency,FaithJudge_faithfulness,FaithJudge_hallucination_rate,FaithJudge_grounding_score,FaithJudge_subtle_error_detection,ReDeEP_external_context_score,ReDeEP_parametric_knowledge_score,ReDeEP_redeep_score,ReDeEP_copying_head_signal,LettuceDetect_token_hallucination,LettuceDetect_span_precision,LettuceDetect_example_f1,LettuceDetect_confidence,LRP4RAG_context_relevance,LRP4RAG_response_relevance,LRP4RAG_relevance_consistency,LRP4RAG_lrp_classifier_score,LUMINA_context_utilization,LUMINA_knowledge_utilization,LUMINA_lumina_score,LUMINA_signal_confidence,HALT-RAG_nli_ensemble_score,HALT-RAG_lexical_overlap,HALT-RAG_calibrated_confidence,HALT-RAG_abstention_score,MetaRAG_factoid_consistency,MetaRAG_synonym_stability,MetaRAG_antonym_detection,MetaRAG_metarag_score,KG-RAG_kg_faithfulness,KG-RAG_kg_relevancy,KG-RAG_community_overlap,KG-RAG_multi_hop_score,GaRAGe_relevance_aware_factuality,GaRAGe_grounding_precision,GaRAGe_deflection_score,GaRAGe_over_summarization,HSAD_spectral_consistency,HSAD_temporal_stability,HSAD_confidence_score,HSAD_hallucination_probability,SIRG_semantic_grounding,SIRG_linking_ratio,SIRG_attribution_consistency,SIRG_sirg_score
RAGAS_faithfulness,1.0,0.07626033066098543,0.1570257859113252,0.4180595015226054,0.51255615245771,0.08278627148549862,0.21874367123423216,0.3649917465914724,-0.32207285994468854,-0.010649259076366083,0.4065923761386214,0.10346752536498635,0.05285293036523706,0.06717471829102037,0.009971273288711379,-0.05024780039563425,-0.036615061477858694,0.07015811613020784,0.36408589627688975,-0.0002755067450140034,0.3547729005767345,-0.12991913757883153,-0.04005831824693876,0.34422763389292493,-0.031156469747619025,0.00589039534589529,-0.0015763689335955595,-0.032188459010258096,0.10675370623414959,0.32478051870979574,0.17471618269694444,-0.11688811837183666,0.16961445179088425,-0.0902974683628373,0.4220483573599462,-0.4497227008038268,0.45697142620315906,-0.24200844506412153,0.2122801825698684,-0.2822005850225816,0.2987597307887073,0.36541574451650827,-0.2947252462021795,0.10103983010506347,0.3050595004959182,0.3713440339370066,0.05101443947687072,0.09764888398213944,0.3381804260182644,0.04142783340068025,0.3697006157525168,-0.22507981551741485,0.3090310944417686,0.11373823351823123,-0.020696785611426533,0.30807243383414945,0.07621351830571424,-0.24096619130081617,0.2542696550689041,0.012169522210175929,-0.016502657602585024,0.15331722146136045,0.343931964201009,-0.02725301458783199,0.35969922586459924,-0.02259756782195373,0.2434546199857499,0.14701903116490364,0.1435793111187885,-0.1455229714051993,0.3884629733587753,-0.1455193111405592,0.2257645730942856,-0.21152161549537404,0.3236481443029164,-0.0244458454942857,0.30995101070834763,0.32629184271411926
RAGAS_answer_relevancy,0.07626033066098543,1.0,0.16258626708215435,0.17052999472335145,0.06361400007759059,0.6556696518387677,0.14733944079669525,0.30344656190578767,-0.24197170724462502,0.14673503470802365,0.14728596335631283,0.19196438498482307,0.6380430116294146,-0.04505139004418212,-0.0024026731717811636,-0.00424362509789838,0.01853389653498877,-0.01366520990326542,-0.030979900331847842,-0.041681054607928425,-0.03118942387674147,0.08624208476745526,0.08575248219539085,-0.015852780457445426,0.0764620155087019,-0.041891360742843615,-0.04523979671198505,-0.06909904697649522,-0.03059955297599931,-0.019981876762640516,-0.0009778965902373289,0.13176241245327897,0.018064796335228513,-0.10685806807912175,0.13515127759624287,-0.17115719523347306,0.18897567824478465,-0.04969589738114867,-0.028019571803438736,-0.003909958305301288,0.04637859957085197,-0.05802706239777694,0.033704844823027345,0.07169634076799071,-0.010691410075951566,-0.0115762164270648,0.004055362442602318,-0.017254157373696486,-0.005023757878558653,0.03767800378490518,0.016000248182630964,-0.03649826198342087,0.020571747663382673,-0.018064796335228513,0.01819609820674246,-0.053014647204201217,-0.005677507419643246,-0.021014150838939285,0.02396531184127755,-0.11236888478994321,0.08324553086723668,0.05419438900568553,0.0318152871948579,0.08571643638367407,0.025393175858540874,-0.003760521478882567,0.09192953430786248,0.09672755495187145,0.07494185413608907,0.0680202308305685,-0.04755834137233628,0.07089565908291583,0.005087636518901091,0.025880585770062067,0.012813609646628527,0.0627475170664468,-0.025018407421736694,-0.00282505062458984
RAGAS_context_precision,0.1570257859113252,0.16258626708215435,1.0,0.27404457707992647,0.1594291787941927,0.14575043657592285,0.7199108219627052,0.3512232540533908,-0.07127043973042158,-0.045939607094993465,-0.0002831711398156098,0.024694226657821984,0.14302170274749673,0.031689380318166455,-0.002444654846106131,-0.012931178209352379,0.004205846909995808,-0.00012436824182248313,0.08805925085562988,-0.011268912182559572,0.08322463517902302,0.07824758986796712,-0.051855349611545115,0.12739771077404294,-0.1164077910004027,0.1775371521868148,0.20979856602528102,0.17394437262074275,-0.055483090119348676,0.11886185075568159,-0.029771260461852495,-0.051855349611545115,0.0427859983420362,-0.0021431930627558164,0.15231952207771615,-0.10475759394399028,0.11052039102482197,-0.01752732173768047,0.08658780566159137,-0.08759214347279659,0.159833978843816,0.0912966340014203,-0.09215709703235021,-0.05368945840046282,0.10317720797194264,0.10872551698387752,0.1904563766596873,-0.051376498368522795,0.0670847537350378,0.12665082302243633,0.08802605643935127,-0.03617070682780616,0.09378776195174517,-0.0504682723585614,-0.010387488162008114,0.13902782004906025,0.01835209903947687,-0.08205095442649833,0.07026609441504385,0.01753714882908669,0.022299934297968987,-0.033930043572986304,0.10094404377502207,0.026920016743835592,0.10035653875834206,0.17226865340805825,0.13759229973954049,0.0815789794106116,0.1596807748848755,-0.0798010653864999,0.12921158102794472,0.13066762170713347,-0.014724358531673304,-0.14340244830847043,0.08888408677799996,0.04705392835121686,0.029027027433412858,0.0932721628804618
RAGAS_context_recall,0.4180595015226054,0.17052999472335145,0.27404457707992647,1.0,0.36588204237156374,0.16122554045231727,0.34287570289999225,0.5407068670238008,-0.20579853139650178,-0.03998390513866469,0.20562747821292998,0.026525806615876942,0.22671137366949903,0.06684078908015399,0.010493851632105268,0.06447417256388042,0.01594433356710529,0.023940255782636706,0.2870799125011284,-0.009573742251470271,0.26063613900419796,-0.08585230219487605,-0.05553367486745129,0.28639918404579906,-0.018320387585138567,0.0468862111082941,0.0732046675634643,0.051533859592444435,0.01603033913699625,0.24245887944706823,0.12199828796800397,-0.004436968868275748,0.1429848999808862,-0.10184472599352921,0.19837054268736118,-0.21103810288845085,0.21634704827144105,-0.10459222825290121,0.21462587067690223,-0.28855526940666226,0.311017204863329,0.26674606441317983,-0.19749474266837164,0.027276171237638386,0.22471100397396526,0.25977737083614455,0.0552474188114335,0.06813065317919671,0.24544511530783905,0.013597162660845033,0.31903237443182714,-0.26951007674074945,0.33592148173687675,0.10076213171826214,0.05119959946958574,0.2503309209875575,0.06583889288409173,-0.1567251906697401,0.23481923055772777,-0.025270482026544867,0.036354519114259354,0.12609579267583657,0.30699910600347263,-0.043813065354721674,0.32512530759480945,0.018177716289407526,0.2741770028087674,0.0968909719848606,0.1390297232112697,-0.16289820099218497,0.3200342706278894,-0.09873888747190752,0.22771669256215207,-0.22027403510568952,0.2610225038285872,0.09432137045786185,0.2293874141499736,0.24568998913777354
DeepEval_faithfulness,0.51255615245771,0.06361400007759059,0.1594291787941927,0.36588204237156374,1.0,0.009647573192526635,0.16321047153164317,0.3083653493013916,-0.2190855622256756,-0.12095759561313674,0.30228480036804606,0.05791914778629403,-0.01816782681192989,0.020750188824459316,-0.01176310067981848,-0.011522549971327152,-0.002281204205788733,-0.016789301608394643,0.42079561046988123,0.04762473164334262,0.3672997341401716,-0.16547732432007006,-0.025456417217635658,0.4001007199107946,-0.12029404998921948,0.05313668825461887,0.08378964414151627,0.07160251193122433,0.04627791253290067,0.4019546886717429,0.15480439340975938,-0.15566206942884775,0.13926157654353624,-0.029648546486722858,0.30189756519079064,-0.34217167219126926,0.3578017090354937,-0.240127105878353,0.2997800196030958,-0.3686351953421477,0.37571390005524447,0.336915077610938,-0.37295535957503634,0.11548874272770598,0.3605969240044356,0.40494956128558235,0.08877658105309913,0.07316229783843395,0.37702396863807575,0.036865455746547995,0.4183551815570543,-0.27460129609275885,0.3814184193197006,0.1622222665829723,0.07805672601449466,0.33834929887305654,0.08720783825537369,-0.21313510101824362,0.28581796002861654,-0.05127019432665399,-0.03059048455564621,0.15737342520818456,0.3971272757301346,-0.10555485738757085,0.4216844899762548,0.0643200708092275,0.2712079735473193,0.11189482196092759,0.16542210894722062,-0.18421521492490808,0.420351763299614,-0.153247222681427,0.25021447623720877,-0.2764552648537071,0.3739866936002708,-0.06210795349176655,0.3763076231571383,0.3721336859488953
DeepEval_answer_relevancy,0.08278627148549862,0.6556696518387677,0.14575043657592285,0.16122554045231727,0.009647573192526635,1.0,0.12628897880162246,0.22289743350497013,-0.28199931153813745,0.2073022610169493,0.23197575015558938,0.20199370622716134,0.4932417211453998,-0.04478513501837209,-0.08085661998750525,0.008284329612338806,-0.03805640575053105,0.0069069330499281,-0.07781075649376727,-0.1195197900745873,-0.1030432354461709,0.012266957543801835,0.1424641342367157,-0.10715997487682906,0.15880634227963142,-0.22466825473394242,-0.2037758806262695,-0.2372472846003437,0.020833196512724625,-0.10154623928956792,0.018899420468309298,0.07584780526788366,-0.015219460925463498,-0.08156323256072277,0.21175716911184536,-0.18743921289575918,0.1871369291230424,0.0037670275898447347,0.009543590290057167,0.04655620184862299,0.0501493712461994,-0.10724264359874805,0.10706212860967654,0.10925953056983681,-0.05588785651317743,-0.02195594363017685,-0.1409671380801127,-0.0412931815164565,-0.029498792878783493,-0.05750960234949732,-0.007859229822165578,0.01746495516036795,-0.008981976939617801,0.022704441708478334,-0.0538045753614646,-0.10528872968107535,0.02993992313205934,-0.005613735587261127,0.11140986203201916,-0.09694173930186202,0.0788417975810896,0.12300318420087714,0.018171635846485557,0.15046916645954458,0.023916620375271366,-0.18700446855942082,0.015606834515448448,0.06720996109028993,-0.019343491991233242,0.08306684089328514,-0.09094251651363024,0.012169516569010032,-0.0653688321716629,0.11015396719003498,-0.009579196649692652,0.07522405686929909,-0.043768593869554166,-0.0323886111496234
DeepEval_contextual_precision,0.21874367123423216,0.14733944079669525,0.7199108219627052,0.34287570289999225,0.16321047153164317,0.12628897880162246,1.0,0.3928540551513134,-0.09620073869799149,-0.08755313555812463,0.06529691508602059,-0.0014126231095222064,0.18016104231270955,0.03510014302995399,0.017790209405972042,-0.04889871351583867,0.012983693902020409,0.07965960911563712,0.1322196684636382,-0.010308610575203216,0.1422591273483309,0.037430735093520406,-0.09266225353596023,0.1508615829774573,-0.11549593205771548,0.23274960175806483,0.2681932590533889,0.2050029982206996,-0.03308228306756632,0.17029676050992806,0.017552340333987882,-0.06398740143887226,0.07471392018630146,0.046291489347553345,0.13525122236603948,-0.09868553107994088,0.0964414115883636,-0.04451293698579844,0.09048736242008237,-0.11295356908620391,0.1594640386065837,0.13234346285917264,-0.12790073962424012,-0.04950933347051458,0.09584834821341445,0.11485871312222463,0.235186888774079,-0.02910039589566029,0.10651831852494897,0.159676444918414,0.1372675790203193,-0.05474772687425501,0.12770929498795663,-0.09117540935314827,-0.04111670667017197,0.1897319380423988,0.030427204169687798,-0.11103539950927957,0.05268073639335685,0.03262934449334227,0.02681629686857302,-0.053473289003273326,0.13901789635687875,-0.038710029845618395,0.13104363843965816,0.22589978857689577,0.15830320968633918,0.09039996807355463,0.2097240864180167,-0.10349910023997817,0.18389076446706606,0.09228614746130581,0.04083511344937158,-0.1563841470850446,0.10612306175050444,-0.01587737180931353,0.05975703138306077,0.11066838089548513
DeepEval_contextual_recall,0.3649917465914724,0.30344656190578767,0.3512232540533908,0.5407068670238008,0.3083653493013916,0.22289743350497013,0.3928540551513134,1.0,-0.19696449755500478,-0.07260171002937357,0.21398481987291348,0.019917835851762225,0.2824588163292406,0.02795648555101294,-0.006886480814207695,0.03849379662850816,-0.020213721240808457,0.07221063131625982,0.26740827732887196,-0.04840556605758294,0.2623562196957909,-0.018062308018441685,-0.041844156559075515,0.28252353324662965,0.002837915379908441,0.04046555796149841,0.11917953298033933,0.06316823606510583,-0.028922584403747727,0.29399595712285526,0.11636332860764348,-0.047399224962300555,0.089303762699672,-0.0746506577131936,0.18855716040458995,-0.1924578603765264,0.20795312063922722,-0.10677313969993031,0.17209068208419023,-0.24727066665095096,0.271896445866547,0.2345066394629933,-0.1889801953157142,0.023799155470425926,0.1982314083455194,0.2558350524398311,0.10947107625051071,-0.015216439257970506,0.23637296191925186,0.09570416759903996,0.2787799001922824,-0.17963400543037472,0.2681528128121997,0.03520222694652385,-0.05311013382587894,0.2632015561919339,0.015759487535236233,-0.1878458456786204,0.19921252378360788,0.015640538338817372,0.06128689597036314,0.12009816363059336,0.31228245008227545,-0.025747941239855743,0.2883444225498362,0.055733227917090386,0.2530267117545326,0.10472766012352973,0.1224388023821151,-0.12590398998453514,0.29641120425469225,0.003866436028746851,0.19219329051592696,-0.2052356250278466,0.2536049146573513,0.0397911964970141,0.23294207690150703,0.2556975265439714
DeepEval_hallucination,-0.32207285994468854,-0.24197170724462502,-0.07127043973042158,-0.20579853139650178,-0.2190855622256756,-0.28199931153813745,-0.09620073869799149,-0.19696449755500478,1.0,-0.24471397867982908,-0.5844998359592775,-0.19635718040522335,-0.18957534616522978,-0.06704205004260912,0.009242885385226137,0.051125581156206,-0.03891569012190969,-0.09783799228941226,-0.08990258906171839,-0.02449701382695583,-0.05823491746328513,0.0599056994607258,-0.08088182981011824,-0.09418239737889324,-0.00718949598312162,0.09843096077389688,0.10146371112755531,0.07927614529257654,-0.049966997082695266,-0.04115986450337128,0.04089082862765119,-0.018872426955694258,-0.046911461289868575,0.06164575329146946,-0.3345045411211192,0.4816638889139255,-0.4817026652716038,0.22230936786243985,-0.0008987095788165699,0.08721867084439054,-0.0824994664063206,-0.13036797887245619,0.05195716468247708,-0.11255804150527142,-0.058414654862863166,-0.04781014828775878,0.034329843319405744,0.07612070132576347,-0.042141220910898,-0.030375620528688845,-0.08950922498986419,0.0625486150531581,-0.08681316399619357,-0.11413324873205574,0.06917866301463475,-0.011143718773838513,-0.011682930972572635,0.07027732323501384,-0.1240281549171166,0.018789975503275592,-0.0483493604864929,-0.07566944522235505,-0.11246310347806845,-0.06514758263278882,-0.12703832168882614,0.0794459267673848,-0.08177631620207362,-0.05813703855142814,-0.04638973595584669,-0.0073733102088826925,-0.10352874215695135,0.03201015136144643,-0.02444428634261351,0.043496450697885804,-0.07327537513069317,0.007369233382699661,-0.07298488955192989,-0.08109744027925811
G-Eval_coherence,-0.010649259076366083,0.14673503470802365,-0.045939607094993465,-0.03998390513866469,-0.12095759561313674,0.2073022610169493,-0.08755313555812463,-0.07260171002937357,-0.24471397867982908,1.0,0.0695193938008899,0.3418751670346668,0.12959809430376765,-0.021925441279447476,0.07199096806869261,-0.030513875535399755,0.03174782713373912,0.02142355942176749,-0.16692783389934748,-0.0020379763683511833,-0.16737143788568318,0.09257591276838487,-0.026990724743346232,-0.16563476926948933,0.10195692000904784,-0.014837772982122998,-0.06967451773758765,-0.021566886852324673,-0.07489383407336019,-0.1411766862580925,0.03277715680207996,0.07793300415169944,-0.030608784360416773,-0.046947474442173676,0.01554191922272377,-0.08664960928211521,0.06292523136389404,0.04789670370754931,-0.13669372689182432,0.11656303901497152,-0.16013531865154212,-0.07617087711013186,0.13209236923109496,-0.06507724313769012,-0.037844903594557854,-0.12902000594473548,0.02033349504793644,0.025544142717212275,-0.1370314713381414,0.12250749863400849,-0.12945417309878393,0.12004721809440053,-0.1332169551005373,-0.07851189369043073,-0.037516817064467335,-0.17764672719816352,0.03871323790265478,0.044212688520602006,-0.09212274203762065,-0.001344841020214238,-0.003835143194094773,-0.06780243722390192,-0.14684225852141458,-0.002718310568918799,-0.1314118682574475,0.0380629435389622,-0.04209147438060748,-0.07137627413782946,-0.09852072070121941,-0.002968450191615179,-0.12540194632766494,0.06624545385012356,-0.09587857985236933,0.07532800122740865,-0.13386594742841296,-0.026122390435249304,-0.1426668830415734,-0.1357774788620732
