,RAGAS_faithfulness,RAGAS_answer_relevancy,RAGAS_context_precision,RAGAS_context_recall,DeepEval_faithfulness,DeepEval_answer_relevancy,DeepEval_contextual_precision,DeepEval_contextual_recall,DeepEval_hallucination,G-Eval_coherence,G-Eval_consistency,G-Eval_fluency,G-Eval_relevance,RAGChecker_claim_recall,RAGChecker_context_utilization,RAGChecker_faithfulness,RAGChecker_noise_sensitivity,RAGChecker_hallucination,TRACe_utilization,TRACe_relevance,TRACe_adherence,TRACe_completeness,ARES_context_relevance,ARES_answer_faithfulness,ARES_answer_relevance,BERTScore_precision,BERTScore_recall,BERTScore_f1,UniEval_coherence,UniEval_consistency,UniEval_fluency,UniEval_relevance,UniEval_overall,QAFactEval_factual_consistency,FaithJudge_faithfulness,FaithJudge_hallucination_rate,FaithJudge_grounding_score,FaithJudge_subtle_error_detection,ReDeEP_external_context_score,ReDeEP_parametric_knowledge_score,ReDeEP_redeep_score,ReDeEP_copying_head_signal,LettuceDetect_token_hallucination,LettuceDetect_span_precision,LettuceDetect_example_f1,LettuceDetect_confidence,LRP4RAG_context_relevance,LRP4RAG_response_relevance,LRP4RAG_relevance_consistency,LRP4RAG_lrp_classifier_score,LUMINA_context_utilization,LUMINA_knowledge_utilization,LUMINA_lumina_score,LUMINA_signal_confidence,HALT-RAG_nli_ensemble_score,HALT-RAG_lexical_overlap,HALT-RAG_calibrated_confidence,HALT-RAG_abstention_score,MetaRAG_factoid_consistency,MetaRAG_synonym_stability,MetaRAG_antonym_detection,MetaRAG_metarag_score,KG-RAG_kg_faithfulness,KG-RAG_kg_relevancy,KG-RAG_community_overlap,KG-RAG_multi_hop_score,GaRAGe_relevance_aware_factuality,GaRAGe_grounding_precision,GaRAGe_deflection_score,GaRAGe_over_summarization,HSAD_spectral_consistency,HSAD_temporal_stability,HSAD_confidence_score,HSAD_hallucination_probability,SIRG_semantic_grounding,SIRG_linking_ratio,SIRG_attribution_consistency,SIRG_sirg_score
RAGAS_faithfulness,1.0,0.06002448399952626,0.2534460096976217,0.4420293644853357,0.5605040509052869,0.061980619145582214,0.3145819126831746,0.4756426635006886,-0.4431948775089945,0.014091683975613258,0.5586796416022133,0.03722985553747765,0.06619451155548231,0.03031547869740823,0.023497050946108745,-0.041730808496897955,-0.02223037780101659,0.038176558072045244,0.3330790109688614,-0.02827378064221106,0.3521544729697431,-0.006603422085491402,-0.003342709967588185,0.31883818187595847,-0.09541804689888976,0.05411948273381132,0.050944638491691126,0.03724832404158652,0.0337192515147118,0.3187996961452972,0.11232949332983799,-0.13599094359803796,0.1348760827968507,-0.03956506645487557,0.6874701577242615,-0.6669377395977135,0.678690278884894,-0.19128873115876222,0.1772546635048464,-0.23519876802134684,0.26415434180670805,0.39786631549523643,-0.25428902261827735,0.1984098948465286,0.2986277637938966,0.3831689133924127,0.12032356177619191,0.09743975918386992,0.32629324349359046,0.11461752440254612,0.36136979500730804,-0.1991603901751513,0.28946202509314084,0.08311195402628607,-0.048270627879523416,0.33060200425189795,0.10947614372526411,-0.2180866383058333,0.2363617038355498,0.002735257198459494,-0.06305818201741328,0.1385792339273761,0.3459133790396604,0.016131071820914424,0.35739930771352585,0.048333818305292826,0.2236984564850857,0.18624691409664942,0.24257943893722436,-0.15439899094272172,0.3847887794203166,-0.011001265657999505,0.18350708028068777,-0.24927930169821316,0.3023912717311317,0.021174800499852924,0.32386176265050576,0.3098125678502728
RAGAS_answer_relevancy,0.06002448399952626,1.0,0.2528268933188006,0.303318231518614,0.0494784018358017,0.8578555601754654,0.23296776494464255,0.4659672376013084,-0.19578663563271373,0.11858153377955716,0.12019059599922423,0.14271472801357488,0.8299154792607131,0.04246004593333508,0.06892643796970183,0.025441606182951146,0.07654918224609927,0.12029142227677761,-0.016067571504182983,-0.09921597700342316,-0.033877992902411676,0.14050751426089408,0.08448031499731369,0.0007846955127529627,0.07738046250886925,-0.03536498860263864,-0.0441605652191736,-0.07256306882319717,-0.09732686906548511,-0.0038657623404909883,-0.01499306449841992,0.16871641076825727,-0.029395004597298168,-0.15257898467846032,0.12749194702350403,-0.13072211822699975,0.1352244262032369,-0.006685345095547811,-0.03076794224026451,-0.007915733397363425,0.05595727279409256,-0.06552813085661072,-0.10067453783849399,0.014593608822777411,0.012841027314273851,-0.020375137784778362,0.0669458156567149,-0.07181581892130824,0.02778049611149298,0.0669805400945461,0.04500020400671419,-0.12983856454019188,0.09461535171519568,-0.06504618914396149,-0.06262535941864368,-0.008430788173555977,-0.04721879736659119,-0.007410632904474553,-0.002429677062708488,-0.03340439452770427,0.05756092556634961,0.06640678501045662,0.0565804379637435,0.06932767436935128,0.042143794973304,0.04713111323032761,0.18579152497849982,0.04097330245016986,0.08960173106339697,0.0076586300344774205,-0.05202643599472601,0.14852857733975527,-0.005679563624430282,-0.04819066557022463,0.12411211210393802,0.08808913155159277,-0.09969027020013299,0.09088432053208248
RAGAS_context_precision,0.2534460096976217,0.2528268933188006,1.0,0.3920364097318682,0.16379229918367577,0.2921863833050821,0.8299666744756734,0.49770720081858444,-0.16569965408452159,-0.040204725365092134,0.10664773261487535,0.02920655434868045,0.20445965940756794,0.055193080246976015,-0.0044177652297577065,-0.02384601924018579,0.015664175197814403,-0.0020242022736744495,0.16532516625209104,-0.06572683497839343,0.16222148708371958,0.1785718643688791,-0.058368722734397124,0.22629884751302018,-0.16793857519764938,0.1672205946008112,0.2041709650163935,0.14789331871307979,-0.05839608948485812,0.20847570149936887,-0.0023455535977728002,-0.08006142631421037,0.055551088199606205,-0.049769350757312196,0.1885599851980377,-0.17331364465102092,0.18014421138299638,-0.024811581539277525,0.10662230412612227,-0.16740328879694652,0.2527475952104355,0.13982562914685023,-0.20530754093306666,-0.0681646182320688,0.16298270995109462,0.13108120228294648,0.24375527599870592,-0.04422087426939204,0.15025554193170748,0.17795626726816746,0.16638255304998248,-0.22208995202411164,0.20737299529142858,-0.0983250554101298,-0.02415903939480293,0.24068364430264505,0.04465179117451489,-0.12947534249889514,0.1113699671403569,-0.0042304278491958,-0.054937679428914615,-0.04237632914976689,0.18875677851770392,0.042846946077778864,0.18002122108370977,0.2135444921616674,0.2540931969241308,0.10315960291666526,0.2118650002794036,-0.12419324849759754,0.19647107967553262,0.1805807441152273,-0.011694409655838553,-0.23458634702081935,0.23500577675275935,0.08580426662213259,0.05747925752453875,0.20904237132260883
RAGAS_context_recall,0.4420293644853357,0.303318231518614,0.3920364097318682,1.0,0.32448714256124533,0.36125661196282455,0.4419074756333768,0.624924095510659,-0.30148668614221147,0.03102156714702039,0.2967354390795199,-0.004291022346527357,0.3104932214376411,0.07594138359011843,0.07849607256132028,0.002638919084340123,0.10401017017406369,0.06540474282194657,0.3071006694341519,0.008452220882383905,0.2932950502972217,-0.019838472681192515,0.014179999268079056,0.2995323192468713,0.01982305800888202,-0.04357428305960096,-0.00736024170636723,-0.06030933543849245,-0.05111256996655166,0.24608583158757327,0.09758803940843416,0.020389648704369736,0.12000367268397127,-0.15948376979464546,0.301665533532056,-0.2965341859011461,0.29389179685869365,-0.029216765710896313,0.20104173266579456,-0.3229047706396224,0.3279550356433281,0.2773077172135282,-0.25640766115161095,0.0979845151423124,0.2559745155293303,0.2778043410824044,0.04940774746158852,0.03566902776643701,0.3040886752395191,0.0011040062487807617,0.3698372071716657,-0.3424010367586237,0.3928656862778548,0.05039922604118247,0.03290217111006301,0.2982278462819194,0.09859496927573916,-0.2089413326333511,0.3007051592103101,0.005727795666209696,0.02271937964110355,0.17438971562955904,0.3616284660545055,0.04623944952277876,0.37469871349420364,-0.0007537248423300567,0.2674924692842995,0.12822661172703562,0.29527084713071017,-0.1528814120672717,0.3270665457180301,-0.014073053447003454,0.2812351517203924,-0.28828698390054064,0.36872643945265915,0.09678900908449652,0.2218830251409567,0.3448262402498401
DeepEval_faithfulness,0.5605040509052869,0.0494784018358017,0.16379229918367577,0.32448714256124533,1.0,0.026104172306031185,0.18863330714562573,0.3271035558555184,-0.3156996895442654,-0.12207014900379137,0.3785227873089047,0.0018890841250878883,-0.0024498818582143612,-0.02846953581613523,0.042584586441921195,-0.007351200093621214,0.007907570661574093,-0.019854681869082506,0.5116729431374692,0.06649956730939735,0.47708648989736335,-0.11230109144102957,-0.06038360742733844,0.5348237328297463,-0.19384850173016993,0.12497421028872616,0.1368550059997396,0.1400107888372613,-0.009692203511400321,0.5194029293076765,0.1423183505217103,-0.20022303189604476,0.11115830197468486,-0.032826757895398996,0.49691111367423846,-0.47732995399233963,0.49396485369294224,-0.2331170943781298,0.2998083315669263,-0.4240076166692165,0.3912961180180136,0.4157551563553798,-0.39223408588539044,0.21215877911162528,0.39865337104345216,0.44730413230560173,0.17191772646630388,0.0596729574992366,0.43087771756500587,0.11369655695292234,0.4888377822875157,-0.35604936987133023,0.43218131500500895,0.16920947313380807,0.02244628488144952,0.4337332137951148,0.0921953456594909,-0.2370252193506239,0.283292838420695,-0.05205430860205183,-0.08645842726242955,0.13374870314290277,0.4492468567858097,-0.1181530031540699,0.4843311744096891,0.1419132114618362,0.33729025557360265,0.13388978025730117,0.26135051457324976,-0.23123426485326967,0.513765400548845,-0.08780080376681244,0.29744929552357013,-0.34093556706852945,0.40872102366583923,-0.04563437951688551,0.46273313723932663,0.44322942096497453
DeepEval_answer_relevancy,0.061980619145582214,0.8578555601754654,0.2921863833050821,0.36125661196282455,0.026104172306031185,1.0,0.2879020746273471,0.44966375709524675,-0.20204611626229854,0.12960679207539164,0.13583817021852382,0.13910669557832822,0.7535746094919379,0.0035607510312754363,-0.02607113998810161,0.08067363256460053,0.03492345685191035,0.040553396953171214,-0.015710973590916787,-0.1639560588626442,-0.04346616512272842,0.09751404129790339,0.13759233753328806,-0.02677430484062993,0.12690916213361744,-0.15496051651011938,-0.1500158687479457,-0.198878276188615,-0.07184191226785469,-0.013605642595019446,-0.01725426198987495,0.1311153967618777,-0.05116379349724489,-0.17584043520330567,0.13861317686845312,-0.1411260570159928,0.13963976148558538,0.014560637868851836,0.03871894138740818,-0.006850204002802774,0.10112058464482729,-0.046363778183855286,-0.11854747158293143,0.01327458656353045,0.03449844355744968,0.01943028370649766,-0.009721592181978421,-0.05383262036706718,0.06566175555502295,0.015068115751803434,0.06458685634290566,-0.137767945858819,0.10423287809303496,-0.046762090140153575,-0.1142654300462415,0.008938193697487657,-0.01132263993549682,-0.026342044312082855,0.07685242095315611,-0.10157508063730841,0.04924377056132086,0.13760979873128953,0.07638715804599219,0.11891563807252911,0.05975913641928592,-0.058812738765315474,0.11140593662824175,0.029218791234788523,0.06879322550907871,-0.010584216577537714,-0.04039621252390405,0.10228908860917406,-0.009585643675629356,-0.045242558093204724,0.17397863403452643,0.12070102869881094,-0.08617504249033003,0.12358946987704283
DeepEval_contextual_precision,0.3145819126831746,0.23296776494464255,0.8299666744756734,0.4419074756333768,0.18863330714562573,0.2879020746273471,1.0,0.5394706797187392,-0.16406987061011702,-0.05167009170613402,0.1707030146611981,0.010330329049859853,0.2124103277910047,0.04808915556033878,0.04661770458960716,-0.04323361502145421,0.007334313294879082,0.05831032658175599,0.22871525971437534,-0.05501325802690077,0.24859690982310745,0.1576085111093518,-0.11810249437255456,0.26948161031626466,-0.15260702993666375,0.2508611277626417,0.2768510329096452,0.21050259795625692,-0.0381171095261801,0.28321542716788,0.05614150659516011,-0.06608505128658207,0.09826081567343294,0.030531233398883837,0.20358961869739892,-0.18964366089574441,0.19269454148870113,-0.051452731781668794,0.12079348370523119,-0.19798349161149836,0.23838295357760117,0.17253772830977365,-0.24649067708795339,-0.05396324734679064,0.14500400154212154,0.12710355224209557,0.3061208761768274,-0.021794800424232832,0.1954246738991337,0.21971154060359752,0.22890960759464074,-0.21916589319229438,0.24178421907296074,-0.15349325495578076,-0.050423550621613,0.32083204191338505,0.09560200950948307,-0.19812579033573335,0.09802108136627595,-0.002320985906132328,-0.02458307313706496,-0.04554111798009081,0.23903923373847732,-0.029494525347048238,0.2239804966472027,0.2931555574373457,0.26342986741127317,0.13313232816533455,0.2750910241682722,-0.10807041060795822,0.27337198534705914,0.17299146693758272,0.07082793614546595,-0.27233422621332437,0.2502745147086974,-0.004584227818217236,0.08408760450428569,0.2265631834496823
DeepEval_contextual_recall,0.4756426635006886,0.4659672376013084,0.49770720081858444,0.624924095510659,0.3271035558555184,0.44966375709524675,0.5394706797187392,1.0,-0.3040051951684324,0.0029761694518134875,0.3352132205700603,0.02253392826920688,0.38674550876839037,0.048580772027601325,0.041492119732374946,0.022055902305678964,0.05964294241633757,0.07376423161781824,0.3233049551404303,-0.02534102945227081,0.3360071886683919,0.10188970711044629,-0.015467283149084804,0.3632315645085387,-0.0030479273819249307,0.054562360314055,0.10524461015253128,0.044436780059418604,-0.09929122256864828,0.365725209016883,0.11707806104287484,0.010557172208260348,0.09205440296206298,-0.11102617412783237,0.34413480761336424,-0.3372328592036072,0.34049632505135874,-0.053769251134195055,0.18221743814884636,-0.3148483096719768,0.34171038896550565,0.2796463887853198,-0.31155635813317745,0.11361984536952562,0.26751645199003565,0.2746603939264899,0.14780887199565615,-0.024242362058114992,0.32721907377080206,0.15341518876504098,0.36959553941911977,-0.3171909972252624,0.37608476026314647,-0.02834034788922964,-0.09855031624782697,0.365432545414508,0.032058709463051414,-0.2572415080978121,0.23377975317889663,0.04081991988817325,0.032641109802559756,0.12669626588266072,0.41100143736252526,-0.02412667418429667,0.388771359608915,0.10468711276531487,0.3179285947123691,0.14837711940176415,0.27423124639604685,-0.13751293698060377,0.35755468047492833,0.09937076412171146,0.22148641271638123,-0.31067877959458484,0.40193335996699237,0.0953215821828384,0.23819287988878057,0.3869689179776441
DeepEval_hallucination,-0.4431948775089945,-0.19578663563271373,-0.16569965408452159,-0.30148668614221147,-0.3156996895442654,-0.20204611626229854,-0.16406987061011702,-0.3040051951684324,1.0,-0.20892480731060614,-0.5693480869841947,-0.11195007589935929,-0.17375067634274402,-0.00931949514654029,-0.015281175164142964,0.028336717338963473,-0.027308589556751906,-0.05808156112621532,-0.07029869239411923,0.0067802042177459694,-0.023057586679523814,-0.013391265076057956,-0.08385439272430652,-0.0568273339503301,0.04986958666550442,0.12249484120124707,0.12251751200104188,0.09883174890276762,-0.006853881591809747,-0.04942152023782453,0.0907612375756091,0.02971959043654326,-0.03932085786959574,0.03764558356229423,-0.5154407842211403,0.5024591139784321,-0.5123900444587334,0.2921803763459803,0.005900145978383934,0.08690786318675998,-0.07457996631175,-0.15468938420095724,0.041171609413006814,-0.16749520673929086,-0.08529678020291863,-0.0820136408911834,-0.00906516816410004,0.08967447428720624,-0.016174622090708676,-0.06304582410278464,-0.07618779040581793,0.08225452121837394,-0.08034164297476822,-0.16272389077075025,0.051732134996867594,-0.0027443563628501582,-0.029745173703733554,0.045496036130150665,-0.14556416792659427,0.006360889488383518,0.004707867074253426,-0.09787155907794691,-0.12108802217185397,-0.100297317126429,-0.13837277114935986,0.05718830588608178,-0.15526806167700477,-0.08544331355766363,-0.1863226844072007,0.02212951910783657,-0.10226267543219934,-0.030256166090867297,0.009737362229420949,0.06817461473742166,-0.05913105182877137,-0.036372529410717044,-0.07174841917373237,-0.06079027431504774
G-Eval_coherence,0.014091683975613258,0.11858153377955716,-0.040204725365092134,0.03102156714702039,-0.12207014900379137,0.12960679207539164,-0.05167009170613402,0.0029761694518134875,-0.20892480731060614,1.0,0.09318487645389652,0.4966009207459914,0.0734674033967747,0.14398591968430796,0.15539918521328447,-0.16774341190791137,0.18503851857556403,0.22211268782615587,-0.2535097573647939,-0.01108158882637057,-0.2242372392514808,0.17681186215356742,-0.07986960437662005,-0.22043528138779314,0.1786788178891738,0.03983713555689428,-0.01115133750458698,0.031207601524906554,-0.15079165457755775,-0.17677789466218918,0.12130888726792584,0.23198969537924813,-0.02234222245033558,-0.09765774894375391,0.08086896474661652,-0.10277442036804235,0.09181593655047376,0.03739506473310875,-0.255567690140714,0.1751814456982384,-0.24206823665262978,-0.12089285730007901,0.16702484397910547,-0.18037928062433736,-0.06717715490872786,-0.1919108725658752,0.15465239642790649,0.04085425448956508,-0.20466970060028095,0.1920261998946921,-0.19242562279054506,0.1415150212427127,-0.17937586698596417,-0.12544821147436247,-0.035285230006168906,-0.21381539796722315,0.011676180977303122,0.029930796948884366,-0.16533826835097618,0.20921779060773418,-0.041561654815593305,-0.15724301420485237,-0.21603150228994955,-0.010047278539698378,-0.20595392565415319,0.16844749448080604,-0.028738331321770005,-0.030488152101929338,-0.1011973727602126,0.1554134612154839,-0.19427110318020657,0.16874738509219775,-0.1532856117183501,0.03391441646749271,-0.16246365431148763,-0.14240154651650627,-0.1939909558729471,-0.17518008895287113
