,RAGAS_faithfulness,RAGAS_answer_relevancy,RAGAS_context_precision,RAGAS_context_recall,DeepEval_faithfulness,DeepEval_answer_relevancy,DeepEval_contextual_precision,DeepEval_contextual_recall,DeepEval_hallucination,G-Eval_coherence,G-Eval_consistency,G-Eval_fluency,G-Eval_relevance,RAGChecker_claim_recall,RAGChecker_context_utilization,RAGChecker_faithfulness,RAGChecker_noise_sensitivity,RAGChecker_hallucination,TRACe_utilization,TRACe_relevance,TRACe_adherence,TRACe_completeness,ARES_context_relevance,ARES_answer_faithfulness,ARES_answer_relevance,BERTScore_precision,BERTScore_recall,BERTScore_f1,UniEval_coherence,UniEval_consistency,UniEval_fluency,UniEval_relevance,UniEval_overall,QAFactEval_factual_consistency,FaithJudge_faithfulness,FaithJudge_hallucination_rate,FaithJudge_grounding_score,FaithJudge_subtle_error_detection,ReDeEP_external_context_score,ReDeEP_parametric_knowledge_score,ReDeEP_redeep_score,ReDeEP_copying_head_signal,LettuceDetect_token_hallucination,LettuceDetect_span_precision,LettuceDetect_example_f1,LettuceDetect_confidence,LRP4RAG_context_relevance,LRP4RAG_response_relevance,LRP4RAG_relevance_consistency,LRP4RAG_lrp_classifier_score,LUMINA_context_utilization,LUMINA_knowledge_utilization,LUMINA_lumina_score,LUMINA_signal_confidence,HALT-RAG_nli_ensemble_score,HALT-RAG_lexical_overlap,HALT-RAG_calibrated_confidence,HALT-RAG_abstention_score,MetaRAG_factoid_consistency,MetaRAG_synonym_stability,MetaRAG_antonym_detection,MetaRAG_metarag_score,KG-RAG_kg_faithfulness,KG-RAG_kg_relevancy,KG-RAG_community_overlap,KG-RAG_multi_hop_score,GaRAGe_relevance_aware_factuality,GaRAGe_grounding_precision,GaRAGe_deflection_score,GaRAGe_over_summarization,HSAD_spectral_consistency,HSAD_temporal_stability,HSAD_confidence_score,HSAD_hallucination_probability,SIRG_semantic_grounding,SIRG_linking_ratio,SIRG_attribution_consistency,SIRG_sirg_score
RAGAS_faithfulness,1.0,0.08404225469500083,0.1896421430076333,0.46898039734004066,0.5682850977245846,0.09549574883602192,0.26570397141141344,0.4188137734872161,-0.3546049147683572,-0.012780389770090059,0.44617714295003497,0.11210534512827672,0.05867000858981193,0.0862276467994221,0.011942436205782744,-0.061883056945160046,-0.045931890636872696,0.08271121465036893,0.476816756001239,-0.0031843466360899656,0.46226854076597057,-0.16606264367544116,-0.05391617627471438,0.4537410051699915,-0.035298486466547374,0.010793907193579652,0.0012476379249664862,-0.043713095844205,0.1359020450269207,0.4235737597309373,0.22229085311811564,-0.14897921518094823,0.22044500765481845,-0.11261054532464512,0.4921227836027844,-0.4854231385488446,0.49788541890300136,-0.26543116738095596,0.27094165490468103,-0.3640852180657908,0.3861095071983866,0.46624465177328517,-0.3863152488776821,0.13340234964490344,0.40311611118455776,0.481913017304145,0.06134871203624506,0.1286840697857818,0.44136313578646014,0.0556403522435467,0.4796045422433242,-0.28971631275555226,0.40339075868401775,0.15090533784055998,-0.02471891790886163,0.4046123117780213,0.0993730300578907,-0.3154694523045922,0.33018602733869556,0.014147541466160457,-0.02055817312134529,0.19985362552210054,0.4436038045883199,-0.03361147336770467,0.4584329945440751,-0.03208709734569517,0.3035172394230815,0.18466369103793015,0.18523691150256796,-0.18679660402324413,0.5080996690827247,-0.19130766900859825,0.300053290700915,-0.2765727245787795,0.42285379950816243,-0.031168003484472233,0.40880970048278603,0.4251326520184028
RAGAS_answer_relevancy,0.08404225469500083,1.0,0.19383831406027469,0.18510959822358297,0.07041771883024017,0.6901282818129699,0.17848247844795692,0.33820456690502737,-0.25511821481438585,0.15731809036798416,0.15624369142356537,0.2002906340236414,0.6547037776782885,-0.055419807328319984,-0.00463152625331982,-0.00632871650304555,0.02191427896872594,-0.014478516160723449,-0.03937227334364136,-0.05276323573795396,-0.040376239993576674,0.10458572950109427,0.10666935983580911,-0.020224342700131855,0.09568645042460087,-0.053542201056101565,-0.056616775627319545,-0.08673605281863031,-0.03952918600769744,-0.024998309243354715,-0.0015787607595495073,0.1635083541053829,0.02285002429890443,-0.13306945381836946,0.14973693193487458,-0.18323454607407447,0.20373644864984733,-0.052032505892615225,-0.03476312719272999,-0.0049338215667716415,0.05725880611345253,-0.07125291531816283,0.042032582940896776,0.08757928711366875,-0.013146983739167228,-0.013894657487668086,0.0053395979877408975,-0.021142456840421313,-0.005565124216225803,0.04740437322948472,0.017878226068190037,-0.04526909130674749,0.026326475032617105,-0.023418442105218124,0.022137737224935398,-0.0679872278139909,-0.007318843649921425,-0.02343794663778771,0.029770462868891352,-0.13039630640748057,0.10676688249865705,0.06721076166026826,0.041693053875885094,0.1085877363556313,0.0314706530820906,-0.004838054678839134,0.11006656317982973,0.12130363342688695,0.09262127496108637,0.0849129400460383,-0.0608002719557305,0.0884790617982367,0.00645600028053348,0.03194099405086266,0.01631578898153491,0.07945496417764317,-0.032502649204035096,-0.004686230977133834
RAGAS_context_precision,0.1896421430076333,0.19383831406027469,1.0,0.33133648806744065,0.19099766366855764,0.17896991021350056,0.8163723386188426,0.42477874771934193,-0.0851073667123306,-0.05425876660996344,-0.0010409558272418934,0.029974328856279403,0.1696775792169887,0.045709513023931905,-0.016259388505888744,-0.019714873871877158,0.0042705277728516,-0.005805225350230714,0.12389537816524807,-0.00690209335641736,0.11712977599995263,0.10788642589308524,-0.07324658566859199,0.17836832779261613,-0.16889021234417662,0.25500770358354374,0.2970631656596202,0.24244146384599277,-0.07930961386174289,0.16862314858672936,-0.038391562355731566,-0.0729084057830993,0.06357252259075068,-0.003446066428156282,0.1988751277974679,-0.1258438963112494,0.13245527083661818,-0.019739376806821217,0.12292389514689385,-0.1222602703215866,0.2230496831781038,0.12768399088247454,-0.129902904274886,-0.0765734045442038,0.14808420556356236,0.14923189882148724,0.25665129712502216,-0.07256495722827527,0.09257557427743772,0.1786376612137244,0.12396297672874458,-0.05158869846053978,0.13091949584978557,-0.0691089888145438,-0.011216002034699737,0.18969092324291514,0.028376848199239264,-0.11638532631913649,0.09597060220238246,0.021901655481764374,0.03342231051769737,-0.048940000968123856,0.1399712536356752,0.03849153662454741,0.13690058697145688,0.2329281033356763,0.18950498639797655,0.10661002044622973,0.2121058793185167,-0.11117201561274283,0.17736816267265787,0.18842311206401577,-0.017655713619111835,-0.20104680709357584,0.12360962752088275,0.06319197565025218,0.04191284613472615,0.12917555440035305
RAGAS_context_recall,0.46898039734004066,0.18510959822358297,0.33133648806744065,1.0,0.4132526898961229,0.18414865704321098,0.4141207559358568,0.6008425618405056,-0.22464970620178137,-0.04404866713366559,0.22147092525230222,0.02831556723161912,0.24403627022859783,0.0860460443777742,0.011984755683120001,0.07742543731702164,0.022390695604220766,0.026995097871237324,0.3670960051478209,-0.009115750750253481,0.3309824966276934,-0.10471364685441942,-0.07125569914445434,0.3689878105216035,-0.021638290750922665,0.06452072567777374,0.09233017208946183,0.06371462309640197,0.019758263699570556,0.3073719754388884,0.15858655424157259,-0.00732924719529079,0.18751679328819648,-0.13180946915562686,0.23246265940760838,-0.230574537106944,0.2372213672280053,-0.11267458732433992,0.2713422208572851,-0.37128501787132895,0.4007638636215288,0.3381097699545434,-0.2545902122333968,0.03380220516994141,0.2865349321169137,0.330965900018118,0.0744726753004953,0.08718478889654234,0.3150936877687932,0.01954342980895504,0.4066565820546781,-0.34288318772715476,0.42561820849462717,0.1281986665978156,0.061816237883989794,0.32091849698791497,0.08456618002396345,-0.20159993854682923,0.30129345811677294,-0.030590386645793718,0.04821868301986755,0.15998855020572048,0.3925912755030698,-0.05512776377828382,0.41474727619779544,0.023207601092737402,0.3322071637457459,0.12507135133113964,0.17951036328206174,-0.20564837497094055,0.40800643963348115,-0.12938988553425082,0.29066379976573903,-0.2809013051999145,0.33185788369757346,0.12015484315691526,0.2987613470428528,0.3122326181387843
DeepEval_faithfulness,0.5682850977245846,0.07041771883024017,0.19099766366855764,0.4132526898961229,1.0,0.012882127407523838,0.19706792659664493,0.3529464178269538,-0.2393828422231074,-0.13170763784257086,0.33162248730812716,0.06268253503204851,-0.01949518760070176,0.027182638509952714,-0.012105920985318902,-0.012943641910609722,-0.0036214622813480956,-0.021271871956329565,0.5385394163829498,0.06270796067245021,0.4720403915474359,-0.20568848677740148,-0.033937574909183164,0.5139066626463179,-0.15674114581821894,0.07658351393354423,0.11692514077163596,0.09915049553632953,0.061337093697628464,0.5151325481689563,0.20072249067682751,-0.19978955405738247,0.1783370228195343,-0.03796469762111836,0.3528186069065929,-0.36988551125979535,0.38891507701898487,-0.26008498810052727,0.3805277611164971,-0.4632269086714669,0.4821453370552278,0.42344309192229873,-0.47450037553107555,0.14966145714490625,0.46655508905320064,0.5091399506027106,0.1093514087426201,0.09380122103271017,0.4784454976238502,0.04770435310190996,0.5344237231550457,-0.3505902280415255,0.4845421899183969,0.21141452314791426,0.09621174140482587,0.4333789221603563,0.1114662241620843,-0.27745410254058367,0.3757256335334812,-0.06363153547930853,-0.040161945820255784,0.20716069107619273,0.5020800573357537,-0.13661737219690678,0.5349278168881278,0.0854843711827775,0.3295249976287076,0.14220799117986693,0.2143410315474921,-0.2325108676243231,0.5374777325702139,-0.19700961881839424,0.3252040656581423,-0.3530131437707796,0.4672801146795186,-0.08207848101801597,0.4740864322322737,0.4648489885601549
DeepEval_answer_relevancy,0.09549574883602192,0.6901282818129699,0.17896991021350056,0.18414865704321098,0.012882127407523838,1.0,0.16020906364556872,0.25608679887814867,-0.3052505349844923,0.2247055597000164,0.25743739898483325,0.21674667770035394,0.5257390785207072,-0.05787752652450863,-0.10279506343039439,0.00978273658623086,-0.04681884996887325,0.008920246432267631,-0.1031923695699621,-0.15701714496932642,-0.1355573293460741,0.013590921872572563,0.18547615877154447,-0.14162994091761738,0.2044051271953803,-0.28823349264646286,-0.25673649881034605,-0.3034622445897699,0.026071118607058318,-0.13197003683806133,0.023885816553103012,0.09860270259196623,-0.0186646245364913,-0.10474199557391735,0.24390394909452412,-0.2083543408934421,0.2093206245500694,0.003913916930029027,0.014927731960215159,0.06184884893153454,0.06206810692265734,-0.13704317131983318,0.13674222633956734,0.13642756266265263,-0.07072334205614018,-0.027739079883953032,-0.18042281182083575,-0.05238065287845834,-0.038075582804303364,-0.07314135884160448,-0.014615946531855752,0.0216778205038908,-0.010701062212532614,0.0263922234518081,-0.06399282658965888,-0.14006009500995176,0.039128571422729505,-0.007780305518621689,0.14727625535787284,-0.1175584061968482,0.10710549401127493,0.16597552641955562,0.029995562278414354,0.19735912362924163,0.03110490220452503,-0.24203448923701035,0.02012552685991602,0.08809706393897289,-0.02458592596514406,0.10861360282277083,-0.12005023578295568,0.015249556894398261,-0.08341833561523776,0.1435857613356388,-0.01085707490659771,0.09461321815719617,-0.05516859181155485,-0.040684280384097125
DeepEval_contextual_precision,0.26570397141141344,0.17848247844795692,0.8163723386188426,0.4141207559358568,0.19706792659664493,0.16020906364556872,1.0,0.47453235159637513,-0.11570707024966777,-0.10348996805459132,0.0786567235802219,-0.0012602324643171052,0.21484708547811743,0.051803460864710285,0.01755413442716071,-0.06675269302784699,0.014699079732332006,0.10401496563993028,0.18569377373098042,-0.009725998206679123,0.20635003606049496,0.05485048848409754,-0.1276670995794119,0.21247769345069129,-0.16600848931582082,0.33849845146146423,0.38779732388968646,0.2975937421314193,-0.04768580228486374,0.2407138236313378,0.026009700782105002,-0.09290358343159552,0.10326851515005094,0.07032552126117488,0.17515427421294086,-0.11992580304333791,0.11718196547567437,-0.05245197251628861,0.13538047346672938,-0.15842000153825814,0.22110592563206857,0.18492652978007793,-0.17928718208213726,-0.07234803672166669,0.13440494869885192,0.157979092938205,0.33079886635825073,-0.046222797885892494,0.14498499463309256,0.2300899768118882,0.19333538839619235,-0.07439039664881059,0.17739696845107206,-0.13232302902711485,-0.05158445027136673,0.26457792250133644,0.04477111474443183,-0.15630371539873075,0.07476374021482378,0.04048072047450182,0.0415187776863291,-0.08243569132210148,0.19490169628094373,-0.048238334527897844,0.1796618583278028,0.31686791433599526,0.2177976587719119,0.1231538629835448,0.28605951754634906,-0.14292835479076482,0.25626159973987034,0.13174664360525912,0.05929231518937327,-0.21854100059648848,0.15094432257354176,-0.024575736866883323,0.08664427011676798,0.15275798036453372
DeepEval_contextual_recall,0.4188137734872161,0.33820456690502737,0.42477874771934193,0.6008425618405056,0.3529464178269538,0.25608679887814867,0.47453235159637513,1.0,-0.22037947420162576,-0.08136012474073755,0.23819451061852903,0.021860610315508507,0.3151094461489274,0.036788206883438215,-0.009299116259945464,0.04452931274389836,-0.025103073189528584,0.08441087204429384,0.35061868752971076,-0.0651077038612834,0.3449556046452219,-0.02174493339412657,-0.05618802004258454,0.3733878143585538,7.43473636024936e-05,0.055769022216736554,0.16179603372509443,0.08446659898410726,-0.041776753356462054,0.3878613065555175,0.15491028248239722,-0.06277907545064908,0.11852343568217091,-0.09615609521683659,0.2262548902554839,-0.21634110930244946,0.23386715007642592,-0.11818288343823165,0.22584757629317315,-0.3202151629284691,0.3530206773490576,0.3066548253993536,-0.24631870367603997,0.033574740337041185,0.26276863480025237,0.3254693222697118,0.15130900678383574,-0.021831869071974135,0.3063182050655841,0.13157058987089112,0.3646164417004944,-0.23077825723972722,0.34791010422490365,0.04588202082494757,-0.06649103941984508,0.3455673541479077,0.018959385842153287,-0.2503170676438695,0.26179523866473325,0.019050307636585356,0.08610636890444887,0.16096608281698574,0.4053826692252288,-0.041139540845690686,0.37299471108591026,0.07151087687360927,0.32859376356865605,0.13470353531591492,0.16557011536327995,-0.16912406832547294,0.3918122224321761,0.009995889708084389,0.2553759208629087,-0.26959162165781597,0.3282354325776868,0.0534646437888845,0.3085773437544577,0.3347632588867112
DeepEval_hallucination,-0.3546049147683572,-0.25511821481438585,-0.0851073667123306,-0.22464970620178137,-0.2393828422231074,-0.3052505349844923,-0.11570707024966777,-0.22037947420162576,1.0,-0.2643828465635869,-0.6193108201653911,-0.20487097874097224,-0.19905375044985033,-0.0853089265881665,0.010828202075304964,0.05989412290357738,-0.045581826942599775,-0.1142445771448655,-0.11159503899854502,-0.029187529230005796,-0.07170188927080864,0.07084675149405827,-0.09882755500000548,-0.11451673538708315,-0.010902631566486062,0.12435712589758911,0.1286101421785797,0.09805944532329819,-0.06230107565063654,-0.05045314886360267,0.05121026679345458,-0.02342722651499121,-0.05857656714377791,0.07559020021751317,-0.3810554313907773,0.5077908055717947,-0.5122533097021514,0.23452398150582685,-0.0008183494066915369,0.10765370464734822,-0.10316299171294957,-0.16305976684648518,0.0643984365401032,-0.14291033773859685,-0.07218247101362911,-0.0602858059838092,0.04194662532617904,0.09576728264568052,-0.05393226101668853,-0.03990415291919205,-0.11032864685000382,0.07907043151155362,-0.10984693165967671,-0.14440121234747108,0.08312900631861789,-0.013174060369816769,-0.014720082768890164,0.08855852058973791,-0.1545401321106411,0.022146336967163734,-0.06633841566933114,-0.09343914555338163,-0.13923223961384712,-0.08046722943109175,-0.15613185421267192,0.09988849932536255,-0.09862817671046294,-0.07249564376360715,-0.05830133790512072,-0.008446631372760176,-0.12805803274905517,0.04061681093668021,-0.03117207332794466,0.05472171217365429,-0.09039188807945692,0.009552695586063472,-0.09297422014309428,-0.10241737549942218
G-Eval_coherence,-0.012780389770090059,0.15731809036798416,-0.05425876660996344,-0.04404866713366559,-0.13170763784257086,0.2247055597000164,-0.10348996805459132,-0.08136012474073755,-0.2643828465635869,1.0,0.07552244740397288,0.3578535604537671,0.13855557340711144,-0.026225364536448616,0.08926687777549071,-0.0376595027508727,0.03792713153182937,0.025508801569060505,-0.2095410391632749,0.00029530427797129364,-0.20852734736879683,0.11386533819952446,-0.03353517804475892,-0.20714093972715245,0.1299103677428389,-0.014237340219701768,-0.08729219039933675,-0.02296448318134079,-0.09513471970292448,-0.17796079967729914,0.04105840980847123,0.0984321715887809,-0.03817470208471881,-0.057745802381240725,0.014307027089478312,-0.09350187985472201,0.06854548566262575,0.05114402589256658,-0.171937703441929,0.1444027918310929,-0.1952082279867101,-0.09911336209644184,0.1692011916534364,-0.0833582762807845,-0.046308416736498,-0.16229097579955284,0.030104719696279706,0.03056471184157246,-0.1741698768422481,0.15592052043351592,-0.16222447256824146,0.153236376125309,-0.17027690549286228,-0.09952485662546666,-0.04163164781093094,-0.22269530660609424,0.05114745047039207,0.056173062714354204,-0.11793903936391278,-0.0012000416478344443,-0.005410776791973937,-0.08506132747122973,-0.18313352137238603,-0.001516089737402172,-0.16558020041363808,0.04983587765289783,-0.05131196920302291,-0.09303926615420649,-0.12750868846008373,-0.004320031411236002,-0.15613480862329707,0.08104327857012243,-0.12339120376234179,0.0934305744005701,-0.16726942076583068,-0.035253178186969825,-0.17613455381981344,-0.1712610567680637
