framework,mean,std,min,max,n_metrics
ARES,0.5451727365090122,0.2716133595197658,0.0,1.0,3
BERTScore,0.23339709637364134,0.18976669595050158,0.0,1.0,3
DeepEval,0.6402542727272728,0.37909392681893517,0.0,1.0,5
FaithJudge,0.4847639285714285,0.46724572202658,0.0,1.0,4
G-Eval,0.9194374999999999,0.18498394144830516,0.0,1.0,4
GaRAGe,0.7203206024114647,0.24915043557004915,0.0,1.0,4
HALT-RAG,0.43710753482671033,0.2579838623071249,0.0,1.0,4
HSAD,0.513245387619468,0.25308828831680835,0.0,1.0,4
KG-RAG,0.6012293741592697,0.27833772497004167,0.0,1.0,4
LRP4RAG,0.558661936584895,0.23334003330545636,0.0,1.0,4
LUMINA,0.47527739599480007,0.26008369858301295,0.0,1.0,4
LettuceDetect,0.4367207445739139,0.25713073221893945,0.0,1.0,4
MetaRAG,0.5453972484436614,0.31159562710752525,0.0,1.0,4
QAFactEval,0.25554920539003967,0.1787250745148002,0.0,1.0,1
RAGAS,0.7824558531746032,0.2958295943743573,0.0,1.0,4
RAGChecker,0.6646889290982474,0.37289609755633096,0.0,1.0,5
ReDeEP,0.3748081769922115,0.21826330161535304,0.0,1.0,4
SIRG,0.6440304637691975,0.2844214546776147,0.0,1.0,4
TRACe,0.5601467967399442,0.3170976169436778,0.0,1.0,4
UniEval,0.6266101939449407,0.21861273152024185,0.0,1.0,5
