,ARES_answer_faithfulness,BERTScore_f1,DeepEval_faithfulness,FaithJudge_faithfulness,G-Eval_consistency,GaRAGe_deflection_score,HALT-RAG_nli_ensemble_score,HSAD_spectral_consistency,KG-RAG_kg_faithfulness,LRP4RAG_relevance_consistency,LUMINA_lumina_score,LettuceDetect_example_f1,MetaRAG_factoid_consistency,QAFactEval_factual_consistency,RAGAS_faithfulness,RAGChecker_faithfulness,ReDeEP_external_context_score,SIRG_attribution_consistency,TRACe_adherence,UniEval_consistency
ARES_answer_faithfulness,1.0,0.06742318841714064,0.5139066626463179,0.29480714947715014,0.06952025087634935,0.24411705698382488,0.019326625236222594,0.8480462011550289,0.6548473911207594,0.7709775200531717,0.7277641941048526,0.6434620865521639,0.35650694743450845,-0.19988146463581072,0.4537410051699921,-0.12208128057412253,0.5344883126409711,0.6429960160452707,0.8649276231905799,0.7742503562589065
BERTScore_f1,0.06742318841714064,1.0,0.09915049553632962,-0.20904251178904382,-0.07968779536518882,0.17327450587754817,-0.005227810726454233,0.045814317161940225,-0.15511855788136691,-0.2016168189561288,-0.1619956573762889,-0.09375719552003078,-0.28950050739108174,0.17697651142990414,-0.04371309584420559,-0.08457119458933827,-0.07873429313673617,-0.19627210089449182,0.07006401434090467,0.1428581071715854
DeepEval_faithfulness,0.5139066626463179,0.09915049553632962,1.0,0.35281860690659245,0.331622487308127,0.21434103154749198,0.09621174140482593,0.5374777325702133,0.5020800573357534,0.47844549762384997,0.48454218991839637,0.4665550890532006,0.3757256335334809,-0.037964697621118274,0.5682850977245848,-0.012943641910609748,0.38052776111649667,0.4740864322322733,0.47204039154743566,0.5151325481689565
FaithJudge_faithfulness,0.29480714947715014,-0.20904251178904382,0.35281860690659245,1.0,0.3533089088481169,0.09882714494324857,-0.10068415313362716,0.3375817441757066,0.3379096260321617,0.37332801442117153,0.264730791985049,0.3083556426687851,0.3655225845207468,-0.15492867582137002,0.49212278360278544,-0.030911154003939574,0.2216330904556744,0.35947655519836197,0.28622195802643147,0.19396802524754825
G-Eval_consistency,0.06952025087634935,-0.07968779536518882,0.331622487308127,0.3533089088481169,1.0,0.03852152591686108,-0.059445190762546424,0.10654766985386278,0.1520934337381244,0.10620361404190323,0.08432628835044192,0.11161000353843618,0.11221971359974461,0.033263380144027105,0.44617714295003513,0.0253946163080386,0.018755180202743225,0.12990761490466676,0.0493280606750004,0.04391165495759726
GaRAGe_deflection_score,0.24411705698382488,0.17327450587754817,0.21434103154749198,0.09882714494324857,0.03852152591686108,1.0,-0.11268163029705226,0.2509955692276965,0.21654177943528205,0.18351804823611725,0.2026427257713749,0.1596600870545714,0.15714922704874099,0.011202717227447449,0.18523691150256813,-0.12844238434823443,0.16639015603453233,0.1187389309668617,0.24947901140879913,0.2319230920878627
HALT-RAG_nli_ensemble_score,0.019326625236222594,-0.005227810726454233,0.09621174140482593,-0.10068415313362716,-0.059445190762546424,-0.11268163029705226,1.0,0.003229290992163857,0.03300324115631695,0.012769960541305775,0.018051071139710426,0.06621314165336012,0.0789822696785651,-0.06084380244427921,-0.024718917908861656,-0.052846583597244486,0.007084477644952423,0.013472291729546351,0.0431850327283767,0.021949829965136756
HSAD_spectral_consistency,0.8480462011550289,0.045814317161940225,0.5374777325702133,0.3375817441757066,0.10654766985386278,0.2509955692276965,0.003229290992163857,1.0,0.6873169619768874,0.7913163049564425,0.7296647416185404,0.6770824270606761,0.40835282135022505,-0.2696000186551394,0.508099669082725,-0.12199607140968591,0.5045228022661431,0.6687850335582171,0.8848781219530487,0.8017235430885771
KG-RAG_kg_faithfulness,0.6548473911207594,-0.15511855788136691,0.5020800573357534,0.3379096260321617,0.1520934337381244,0.21654177943528205,0.03300324115631695,0.6873169619768874,1.0,0.7528966803928504,0.8183285938632202,0.5627626410818104,0.7138478376038009,-0.21402885540572641,0.4436038045883203,-0.05394191153407397,0.6756777041575907,0.60771027418451,0.6778571401367558,0.6362870286537369
LRP4RAG_relevance_consistency,0.7709775200531717,-0.2016168189561288,0.47844549762384997,0.37332801442117153,0.10620361404190323,0.18351804823611725,0.012769960541305775,0.7913163049564425,0.7528966803928504,1.0,0.7868515838623863,0.730374962361785,0.44621623731349047,-0.3031290558560993,0.44136313578646075,-0.05419808210352603,0.5521418830837515,0.8016562899875745,0.7975978194795673,0.6953248014342109
LUMINA_lumina_score,0.7277641941048526,-0.1619956573762889,0.48454218991839637,0.264730791985049,0.08432628835044192,0.2026427257713749,0.018051071139710426,0.7296647416185404,0.8183285938632202,0.7868515838623863,1.0,0.5805850146253657,0.5571882654896624,-0.24385136503544755,0.40339075868401786,0.010755116369903813,0.6927678289837088,0.6592893450430346,0.7255651391284783,0.6541498537463439
