,ARES_answer_faithfulness,BERTScore_f1,DeepEval_faithfulness,FaithJudge_faithfulness,G-Eval_consistency,GaRAGe_deflection_score,HALT-RAG_nli_ensemble_score,HSAD_spectral_consistency,KG-RAG_kg_faithfulness,LRP4RAG_relevance_consistency,LUMINA_lumina_score,LettuceDetect_example_f1,MetaRAG_factoid_consistency,QAFactEval_factual_consistency,RAGAS_faithfulness,RAGChecker_faithfulness,ReDeEP_external_context_score,SIRG_attribution_consistency,TRACe_adherence,UniEval_consistency
ARES_answer_faithfulness,1.0,0.1576800661778941,0.5348237328297465,0.11006934379516368,-0.014567688189353244,0.3142148412930782,0.0708524776834663,0.8739195083498486,0.6909956352890317,0.7791762381578058,0.8141477780221248,0.6156789578750514,0.3598400897491155,-0.1806538914516579,0.3188381818759586,-0.02184369596400226,0.5274596635833413,0.5552483071455604,0.9027248604557934,0.8561943517135748
BERTScore_f1,0.1576800661778941,1.0,0.1400107888372614,0.01558330857148066,-0.029063056595415845,0.155640534908448,0.017169375662108396,0.05359211434794719,-0.1346961993014802,-0.18807823379074215,-0.1043266938887874,-0.10965162646221345,-0.28217365050862014,0.1790281895397496,0.03724832404158647,-0.0942719158470939,-0.08271477017376509,-0.2057087868028507,0.1516951771639397,0.2139444834716308
DeepEval_faithfulness,0.5348237328297465,0.1400107888372614,1.0,0.4969111136742385,0.37852278730890465,0.2613505145732499,0.022446284881449667,0.5137654005488449,0.4492468567858097,0.43087771756500565,0.43218131500500884,0.39865337104345183,0.28329283842069486,-0.03282675789539878,0.5605040509052864,-0.0073512000936213325,0.29980833156692616,0.4627331372393266,0.4770864898973636,0.5194029293076771
FaithJudge_faithfulness,0.11006934379516368,0.01558330857148066,0.4969111136742385,1.0,0.6240470017553126,0.18719243786051704,-0.08861381229099273,0.1772930193681127,0.14625110585376327,0.1724611289089733,0.06248957771022456,0.18127199906706942,0.10213018875777374,-0.05677214053998915,0.6874701577242617,-0.03431953596963697,0.041655548254949964,0.2147241279421135,0.12200382073914005,0.1286223263408784
G-Eval_consistency,-0.014567688189353244,-0.029063056595415845,0.37852278730890465,0.6240470017553126,1.0,0.15435011027473763,-0.033743879486642724,0.06790877605322616,0.11352800957772673,0.055221932814421885,0.017921825952681332,0.11134235216359842,0.09908792401089005,-0.0030304585766244927,0.5586796416022134,0.03375302387082066,-0.016873199044560135,0.09232665247239799,0.00545770830708487,0.019905441321462644
GaRAGe_deflection_score,0.3142148412930782,0.155640534908448,0.2613505145732499,0.18719243786051704,0.15435011027473763,1.0,-0.11422212944553324,0.2921718048729191,0.3285925379991927,0.262185363052715,0.31317379288049163,0.24482932136115745,0.24381306237617092,-0.002278857553706659,0.24257943893722406,-0.1001027671316118,0.19669092783040276,0.1741512699719211,0.32064134367899216,0.2673785883318892
HALT-RAG_nli_ensemble_score,0.0708524776834663,0.017169375662108396,0.022446284881449667,-0.08861381229099273,-0.033743879486642724,-0.11422212944553324,1.0,0.053184166412970676,0.05630735771613695,0.03914577377044078,0.053439436674193284,0.040523804289786844,0.06862131786932761,-0.024022569143237554,-0.04827062787952335,-0.07613641824128584,0.02024867276944628,0.003628584947571593,0.0656758607041838,0.046512918429046625
HSAD_spectral_consistency,0.8739195083498486,0.05359211434794719,0.5137654005488449,0.1772930193681127,0.06790877605322616,0.2921718048729191,0.053184166412970676,1.0,0.7117845202620701,0.7970791362137715,0.7660099879272038,0.6639613558309818,0.40449078346826767,-0.2754049740370323,0.3847887794203171,-0.050745959836988506,0.45959458101682005,0.6427400975985202,0.9012847868124757,0.8462513035116108
KG-RAG_kg_faithfulness,0.6909956352890317,-0.1346961993014802,0.4492468567858097,0.14625110585376327,0.11352800957772673,0.3285925379991927,0.05630735771613695,0.7117845202620701,1.0,0.7653656517678875,0.8119606174051971,0.5534069716387393,0.7145429630487602,-0.1846777550682648,0.3459133790396605,0.035019899081384816,0.6579785970154617,0.5853621177314804,0.7134560573753528,0.6700495313165824
LRP4RAG_relevance_consistency,0.7791762381578058,-0.18807823379074215,0.43087771756500565,0.1724611289089733,0.055221932814421885,0.262185363052715,0.03914577377044078,0.7970791362137715,0.7653656517678875,1.0,0.8160205573874567,0.7291817868087661,0.45667880964540514,-0.2765247810617757,0.32629324349359057,0.04926398207817011,0.5310138633812532,0.7479158681643144,0.8162412502179236,0.724020529067053
