,ARES_answer_faithfulness,BERTScore_f1,DeepEval_faithfulness,FaithJudge_faithfulness,G-Eval_consistency,GaRAGe_deflection_score,HALT-RAG_nli_ensemble_score,HSAD_spectral_consistency,KG-RAG_kg_faithfulness,LRP4RAG_relevance_consistency,LUMINA_lumina_score,LettuceDetect_example_f1,MetaRAG_factoid_consistency,QAFactEval_factual_consistency,RAGAS_faithfulness,RAGChecker_faithfulness,ReDeEP_external_context_score,SIRG_attribution_consistency,TRACe_adherence,UniEval_consistency
ARES_answer_faithfulness,1.0,0.1576800661778952,0.5348237328297466,0.11006934379516328,-0.014567688189353842,0.3142148412930782,0.07085247768346647,0.8739195083498466,0.6909956352890304,0.7791762381578058,0.8141477780221247,0.6156789578750512,0.3598400897491144,-0.18065389145165783,0.3188381818759583,-0.02184369596400242,0.5274596635833408,0.5552483071455593,0.9027248604557923,0.8561943517135753
BERTScore_f1,0.1576800661778952,1.0,0.14001078883726145,0.015583308571480442,-0.02906305659541581,0.15564053490844781,0.017169375662108518,0.05359211434794774,-0.13469619930148036,-0.18807823379074182,-0.10432669388878685,-0.1096516264622146,-0.28217365050862014,0.17902818953974953,0.037248324041586414,-0.09427191584709395,-0.08271477017376477,-0.20570878680285096,0.15169517716393988,0.2139444834716311
DeepEval_faithfulness,0.5348237328297466,0.14001078883726145,1.0,0.49691111367423846,0.37852278730890465,0.26135051457325,0.0224462848814496,0.5137654005488457,0.44924685678580945,0.43087771756500587,0.43218131500500895,0.3986533710434517,0.28329283842069525,-0.03282675789539894,0.5605040509052872,-0.007351200093621244,0.2998083315669263,0.46273313723932635,0.4770864898973633,0.5194029293076771
FaithJudge_faithfulness,0.11006934379516328,0.015583308571480442,0.49691111367423846,1.0,0.6240470017553131,0.18719243786051734,-0.08861381229099277,0.17729301936811234,0.14625110585376336,0.17246112890897353,0.06248957771022436,0.1812719990670698,0.10213018875777383,-0.056772140539989115,0.6874701577242623,-0.03431953596963691,0.04165554825494995,0.21472412794211387,0.12200382073913991,0.12862232634087825
G-Eval_consistency,-0.014567688189353842,-0.02906305659541581,0.37852278730890465,0.6240470017553131,1.0,0.15435011027473775,-0.03374387948664277,0.0679087760532257,0.11352800957772641,0.05522193281442151,0.017921825952680867,0.11134235216359863,0.09908792401088985,-0.003030458576624434,0.558679641602213,0.03375302387082074,-0.016873199044560472,0.09232665247239792,0.005457708307084474,0.019905441321462262
GaRAGe_deflection_score,0.3142148412930782,0.15564053490844781,0.26135051457325,0.18719243786051734,0.15435011027473775,1.0,-0.1142221294455333,0.2921718048729189,0.32859253799919286,0.2621853630527153,0.31317379288049163,0.24482932136115806,0.2438130623761715,-0.002278857553706849,0.24257943893722417,-0.10010276713161184,0.19669092783040268,0.17415126997192143,0.3206413436789918,0.2673785883318893
HALT-RAG_nli_ensemble_score,0.07085247768346647,0.017169375662108518,0.0224462848814496,-0.08861381229099277,-0.03374387948664277,-0.1142221294455333,1.0,0.05318416641297083,0.05630735771613687,0.03914577377044072,0.05343943667419324,0.04052380428978661,0.06862131786932753,-0.024022569143237624,-0.04827062787952345,-0.0761364182412859,0.020248672769446276,0.0036285849475715926,0.06567586070418387,0.046512918429046736
HSAD_spectral_consistency,0.8739195083498466,0.05359211434794774,0.5137654005488457,0.17729301936811234,0.0679087760532257,0.2921718048729189,0.05318416641297083,1.0,0.7117845202620693,0.7970791362137707,0.7660099879272031,0.6639613558309818,0.4044907834682674,-0.27540497403703207,0.3847887794203172,-0.05074595983698863,0.4595945810168194,0.6427400975985195,0.9012847868124753,0.8462513035116109
KG-RAG_kg_faithfulness,0.6909956352890304,-0.13469619930148036,0.44924685678580945,0.14625110585376336,0.11352800957772641,0.32859253799919286,0.05630735771613687,0.7117845202620693,1.0,0.7653656517678874,0.8119606174051963,0.5534069716387398,0.71454296304876,-0.184677755068265,0.34591337903966063,0.03501989908138478,0.6579785970154617,0.5853621177314796,0.7134560573753518,0.6700495313165824
LRP4RAG_relevance_consistency,0.7791762381578058,-0.18807823379074182,0.43087771756500587,0.17246112890897353,0.05522193281442151,0.2621853630527153,0.03914577377044072,0.7970791362137707,0.7653656517678874,1.0,0.8160205573874557,0.7291817868087666,0.4566788096454049,-0.2765247810617756,0.32629324349359057,0.049263982078170135,0.5310138633812527,0.7479158681643145,0.8162412502179237,0.7240205290670526
LUMINA_lumina_score,0.8141477780221247,-0.10432669388878685,0.43218131500500895,0.06248957771022436,0.017921825952680867,0.31317379288049163,0.05343943667419324,0.7660099879272031,0.8119606174051963,0.8160205573874557,1.0,0.5763422118910454,0.5355059691507611,-0.23438954628487244,0.2894620250931407,0.04620719510337024,0.631012358239829,0.5778534414898981,0.7847276711484426,0.7282483359240639
LettuceDetect_example_f1,0.6156789578750512,-0.1096516264622146,0.3986533710434517,0.1812719990670698,0.11134235216359863,0.24482932136115806,0.04052380428978661,0.6639613558309818,0.5534069716387398,0.7291817868087666,0.5763422118910454,1.0,0.313596847412958,-0.13785873980445246,0.29862776379389655,0.02221588930787608,0.3569723833180304,0.6609889787471682,0.6200862380438666,0.5431861905187864
MetaRAG_factoid_consistency,0.3598400897491144,-0.28217365050862014,0.28329283842069525,0.10213018875777383,0.09908792401088985,0.2438130623761715,0.06862131786932753,0.4044907834682674,0.71454296304876,0.4566788096454049,0.5355059691507611,0.313596847412958,1.0,-0.22774243452999957,0.23636170383554983,0.048816257113275086,0.6400727567377416,0.40988599371929085,0.3683770582759001,0.3617643313096447
QAFactEval_factual_consistency,-0.18065389145165783,0.17902818953974953,-0.03282675789539894,-0.056772140539989115,-0.003030458576624434,-0.002278857553706849,-0.024022569143237624,-0.27540497403703207,-0.184677755068265,-0.2765247810617756,-0.23438954628487244,-0.13785873980445246,-0.22774243452999957,1.0,-0.03956506645487555,0.18642386109131417,-0.027719672058722476,-0.27450358271719966,-0.1951741278775392,-0.14951663099224774
RAGAS_faithfulness,0.3188381818759583,0.037248324041586414,0.5605040509052872,0.6874701577242623,0.558679641602213,0.24257943893722417,-0.04827062787952345,0.3847887794203172,0.34591337903966063,0.32629324349359057,0.2894620250931407,0.29862776379389655,0.23636170383554983,-0.03956506645487555,1.0,-0.04173080849689796,0.17725466350484642,0.32386176265050576,0.3521544729697431,0.31879969614529763
RAGChecker_faithfulness,-0.02184369596400242,-0.09427191584709395,-0.007351200093621244,-0.03431953596963691,0.03375302387082074,-0.10010276713161184,-0.0761364182412859,-0.05074595983698863,0.03501989908138478,0.049263982078170135,0.04620719510337024,0.02221588930787608,0.048816257113275086,0.18642386109131417,-0.04173080849689796,1.0,0.22297496783547321,-0.12731359713419033,-0.03668751279150199,-0.0013714689458654318
ReDeEP_external_context_score,0.5274596635833408,-0.08271477017376477,0.2998083315669263,0.04165554825494995,-0.016873199044560472,0.19669092783040268,0.020248672769446276,0.4595945810168194,0.6579785970154617,0.5310138633812527,0.631012358239829,0.3569723833180304,0.6400727567377416,-0.027719672058722476,0.17725466350484642,0.22297496783547321,1.0,0.3546880811798812,0.4773067365620913,0.48748193649819516
