,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
RAGAS_faithfulness,200.0,0.8627222222222222,0.24392739606958977,0.0,0.75,1.0,1.0,1.0,-2.0561750374303784,3.901904639500059
RAGAS_answer_relevancy,200.0,0.894375,0.2086002268652678,0.0,0.7500000000000001,1.0,1.0,1.0,-2.777920843488688,8.551905346896856
RAGAS_context_precision,200.0,0.5516428571428571,0.264537069730236,0.0,0.3333333333333333,0.5,0.6785714285714286,1.0,0.23192133777891263,-0.5499864507709371
RAGAS_context_recall,200.0,0.8210833333333332,0.32360372011411087,0.0,0.6666666666666666,1.0,1.0,1.0,-1.7663183391129977,1.7997600988563898
DeepEval_faithfulness,200.0,0.8644399350649351,0.2498532357367199,0.0,0.7499999999999999,1.0,1.0,1.0,-1.9290001280327986,3.0379058205516474
DeepEval_answer_relevancy,200.0,0.8975000000000002,0.15577251162154515,0.0,0.9,0.9,1.0,1.0,-2.8909405717378824,10.107487448533657
DeepEval_contextual_precision,200.0,0.5159671428571428,0.2307771118945238,0.0,0.33,0.5,0.667,1.0,0.1626349240643881,-0.11487590841147366
DeepEval_contextual_recall,200.0,0.7916857142857142,0.2655026505913427,0.0,0.6666666666666666,1.0,1.0,1.0,-1.3944927994273286,1.6363451484637253
DeepEval_hallucination,200.0,0.13167857142857142,0.3101453620443203,0.0,0.0,0.0,0.0,1.0,2.163440852245099,3.057443698889723
G-Eval_coherence,200.0,0.86625,0.23225665386880018,0.0,0.75,1.0,1.0,1.0,-1.7769726166063862,2.717271274349433
G-Eval_consistency,200.0,0.9230000000000002,0.1950930714624774,0.0,1.0,1.0,1.0,1.0,-3.0016143257632106,9.474836371277725
G-Eval_fluency,200.0,0.94125,0.14392536277616694,0.0,1.0,1.0,1.0,1.0,-3.615420917687934,17.83009182936283
G-Eval_relevance,200.0,0.9472499999999999,0.14399168561982384,0.0,1.0,1.0,1.0,1.0,-3.488094513095793,14.267368225268676
